,,Edad del esposo,,,,,,,,,,,,,,
Edad de la esposa,Total,Menos de 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 y más,Ignorado,Año,Menos de 15,15-19,18-19
60 y más,92,0,0,1,1,2,3,2,6,7,53,17,2022,,,
Ignorado,3473,0,0,3,6,45,52,55,26,24,26,3236,2022,,,
"Fuente: Estadísticas Vitales, INE",,,,,,,,,,,,,2022,,,
"Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros.",,,,,,,,,,,,,2022,,,
Todas las edades,6255,,245,814,725,582,390,194,133,87,124,2959,2018,,2,
15 - 19,57,,31,19,5,0,0,1,0,0,0,0,2018,,1,
20 - 24,557,,158,269,89,23,7,3,3,2,2,0,2018,,1,
25 - 29,918,,38,416,273,98,47,11,8,3,3,21,2018,,0,
30 - 34,668,,6,79,243,210,64,13,9,4,2,38,2018,,0,
35 - 39,475,,2,19,69,156,129,29,9,6,5,51,2018,,0,
40 - 44,258,,1,7,19,29,78,54,18,6,6,40,2018,,0,
45 - 49,155,,4,0,5,9,17,35,34,9,18,24,2018,,0,
50 - 54,99,,1,1,4,3,1,6,25,21,16,21,2018,,0,
55 - 59,63,,0,0,0,3,1,1,4,19,26,9,2018,,0,
60 y más,46,,0,0,1,0,2,1,0,5,30,7,2018,,0,
Ignorado,2959,,4,4,17,51,44,40,23,12,16,2748,2018,,0,

,Pueblo de pertenencia del esposo,,,,,,,
Pueblo de pertenencia de la esposa,Total,Maya,Garífuna,Xinka,Mestizo / ladino,Otro,Ignorado,Año
Todos los pueblos,9621,855,6,4,4729,119,3908,2021
Maya,776,593,0,0,104,13,66,2021
Garífuna,8,0,2,0,3,2,1,2021
Xinka,2,0,0,1,1,0,0,2021
Mestizo / ladino,4773,170,2,3,4050,60,488,2021
Otro,135,15,0,0,89,18,13,2021
Ignorado,3927,77,2,0,482,26,3340,2021
Todos los pueblos,5542,289,3,0,1525,7,3718,2013
Maya,278,204,0,0,29,0,45,2013
Garífuna,2,0,2,0,0,0,0,2013
Xinca,0,0,0,0,0,0,0,2013
Mestizo / ladino,1510,54,1,0,1147,2,306,2013
Otro,7,0,0,0,4,3,0,2013
Ignorado,3745,31,0,0,345,2,3367,2013
Todos los pueblos,5808,412,3,0,2184,24,3185,2017
Maya,391,291,0,0,62,4,34,2017
Garífuna,3,0,2,0,0,0,1,2017
Xinka,0,0,0,0,0,0,0,2017
Mestizo / ladino,2173,78,0,0,1788,15,292,2017
Otro,33,4,0,0,21,2,6,2017
Ignorado,3208,39,1,0,313,3,2852,2017
Todos los pueblos,5575,327,2,0,1702,16,3528,2014
Maya,298,223,0,0,25,1,49,2014
Garífuna,2,0,1,0,0,0,1,2014
Xinka,0,0,0,0,0,0,0,2014
Mestizo / ladino,1770,61,0,0,1363,10,336,2014
