DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
1,0115,3,2013,11,1,1,0115,999,999,9,9,320,320,9,9,61,NEOG
1,0115,10,2013,27,8,5,0501,999,999,9,9,320,320,9,9,61,NEOG
2,0201,9,2013,15,8,2,0201,999,999,9,9,320,320,9,9,61,NEOG
6,0604,9,2013,12,8,1,0101,999,999,9,9,320,320,9,9,61,NEOG
6,0605,9,2013,23,5,6,0601,999,999,9,9,320,320,9,9,61,NEOG
9,0923,7,2013,31,5,9,0923,999,999,9,9,320,320,9,9,61,NEOG
11,1107,7,2013,27,5,11,1101,999,999,9,9,320,320,9,9,61,NEOG
13,1311,4,2013,25,1,13,1312,999,999,9,9,320,320,9,9,61,NEOG
17,1711,3,2013,14,2,17,1703,999,999,9,9,320,320,9,9,61,NEOG
17,1710,3,2013,11,1,17,1703,999,999,9,9,320,320,9,9,61,NEOG
19,1903,5,2013,24,4,19,1901,999,999,9,9,320,320,9,9,61,NEOG
19,1904,11,2013,22,10,19,1901,999,999,9,9,320,320,9,9,61,NEOG
21,2106,8,2013,15,7,21,2101,999,999,9,9,320,320,9,9,61,NEOG
22,2211,8,2013,29,7,22,2201,999,999,9,9,320,320,9,9,61,NEOG
22,2211,9,2013,18,6,22,2201,999,999,9,9,320,320,9,9,61,NEOG
22,2214,10,2013,17,9,22,2201,999,999,9,9,320,320,9,9,61,NEOG
22,2209,5,2013,29,4,22,2201,999,999,9,9,320,320,9,9,61,NEOG
22,2202,5,2013,18,4,22,2201,999,999,9,9,320,320,9,9,61,NEOG
22,2203,3,2013,21,2,22,2201,999,999,9,4,320,320,9,1,61,NEOG
22,2216,11,2013,28,10,22,2216,999,999,9,9,320,320,9,9,61,NEOG
21,2101,5,2013,19,3,21,2101,999,65,9,4,320,320,9,2,61,NEOG
1,0101,6,2013,12,4,1,0101,999,40,9,9,320,320,9,2,61,NEOG
1,0101,11,2013,20,9,1,0101,999,39,9,4,320,320,9,2,61,NEOG
2,0207,7,2013,12,4,2,0201,999,38,9,4,320,320,9,3,61,NEOG
21,2101,8,2013,16,7,21,2101,999,30,9,4,320,320,9,2,61,NEOG
16,1601,10,2013,18,6,16,1601,999,999,1,1,320,320,2,2,61,NEOG
14,1401,9,2013,16,8,14,1401,48,44,1,1,320,320,2,1,61,NEOG
15,1504,10,2013,12,9,15,1501,34,30,1,1,320,320,2,1,61,NEOG
13,1319,7,2013,27,5,13,1301,33,29,1,1,320,320,2,2,61,NEOG
